"ENSEMBL_ID"	"Gene_Symbol"	"Gene_Length"	"CS52new.ISO_4"	"CS52old.ISO_4a"	"CS52old.ISO_4b"
"ENSG00000269925"	"Z98884.2"	393	9	17	15
"ENSG00000049246"	"PER3"	8099	851	361	832
"ENSG00000236266"	"Z98884.1"	830	0	0	1
"ENSG00000049247"	"UTS2"	1791	4	1	0
"ENSG00000049249"	"TNFRSF9"	6331	138	7	3
"ENSG00000270330"	"AL009183.1"	355	0	0	0
"ENSG00000116288"	"PARK7"	2397	3508	2508	3287
"ENSG00000200344"	"RF00019"	103	0	1	0
"ENSG00000284747"	"AL034417.4"	4116	15	5	3
"ENSG00000284716"	"AL034417.3"	1043	0	10	3
"ENSG00000116285"	"ERRFI1"	4186	133	11014	2227
"ENSG00000238290"	"AL034417.2"	2044	0	1	1
"ENSG00000232848"	"AL034417.1"	800	0	0	0
"ENSG00000229305"	"AL358876.1"	1075	0	0	0
"ENSG00000227634"	"LINC01714"	950	0	0	0
"ENSG00000200975"	"RNU1-7P"	164	0	0	0
"ENSG00000233645"	"AL358876.2"	477	0	0	0
"ENSG00000251977"	"RNU6-991P"	107	0	0	0
"ENSG00000162426"	"SLC45A1"	2888	7	9	20
"ENSG00000252254"	"RF00019"	113	0	0	0
"ENSG00000142599"	"RERE"	11503	954	4196	3584
"ENSG00000232912"	"AL096855.1"	702	0	0	0
"ENSG00000221083"	"RF00599"	125	0	0	0
"ENSG00000270282"	"AL096855.2"	369	0	0	0
"ENSG00000234619"	"RPL7P11"	658	1	3	1
"ENSG00000224315"	"RPL7P7"	703	6	5	2
"ENSG00000222511"	"RF00019"	103	0	1	0
"ENSG00000226545"	"AL357552.1"	415	0	0	0
"ENSG00000228423"	"AL357552.2"	353	3	0	3
"ENSG00000229716"	"RPL23AP19"	369	0	1	0
"ENSG00000074800"	"ENO1"	5276	17406	9565	8391
"ENSG00000274258"	"MIR6728"	89	0	1	0
"ENSG00000230679"	"ENO1-AS1"	456	5	1	1
"ENSG00000201725"	"RNU6-304P"	107	0	0	0
"ENSG00000238249"	"HMGN2P17"	743	0	0	0
"ENSG00000232208"	"AL139415.1"	352	0	0	0
"ENSG00000232663"	"AL139415.2"	163	0	0	0
"ENSG00000131686"	"CA6"	2662	0	0	0
"ENSG00000265141"	"RN7SL451P"	299	0	0	0
"ENSG00000197241"	"SLC2A7"	1539	0	0	0
"ENSG00000142583"	"SLC2A5"	6693	825	1	2
"ENSG00000252404"	"RF00424"	184	0	0	0
"ENSG00000180758"	"GPR157"	5372	439	319	159
"ENSG00000228526"	"MIR34AHG"	8702	540	327	603
"ENSG00000284357"	"MIR34A"	110	0	0	0
"ENSG00000234546"	"LNCTAM34A"	1662	37	81	112
"ENSG00000049239"	"H6PD"	9321	2894	1623	3638
"ENSG00000171621"	"SPSB1"	3403	2689	1189	726
"ENSG00000284652"	"BX323043.1"	1765	5	1	0
"ENSG00000284693"	"AL928921.2"	2623	17	18	46
"ENSG00000252956"	"RNA5SP40"	110	0	0	0
"ENSG00000235263"	"AL928921.1"	708	0	0	0
"ENSG00000171612"	"SLC25A33"	3854	329	241	144
"ENSG00000231181"	"AL954705.1"	559	15	7	9
"ENSG00000188807"	"TMEM201"	6966	255	135	146
"ENSG00000171608"	"PIK3CD"	6332	3617	101	255
"ENSG00000179840"	"PIK3CD-AS1"	1823	13	0	0
"ENSG00000233268"	"AL691449.1"	421	0	0	0
"ENSG00000231789"	"PIK3CD-AS2"	939	0	19	25
"ENSG00000171603"	"CLSTN1"	5683	4448	2639	3322
"ENSG00000271264"	"MZT1P1"	246	0	0	0
"ENSG00000280113"	"AL357140.3"	1983	0	0	0
"ENSG00000178585"	"CTNNBIP1"	3339	395	328	485
"ENSG00000223989"	"AL357140.1"	424	0	1	0
"ENSG00000285701"	"AL357140.5"	762	0	1	0
"ENSG00000162441"	"LZIC"	2794	895	773	1154
"ENSG00000228150"	"AL357140.2"	440	1	0	3
"ENSG00000173614"	"NMNAT1"	4610	539	227	439
"ENSG00000202415"	"RN7SKP269"	319	7	1	1
"ENSG00000283611"	"AL357140.4"	444	0	0	0
"ENSG00000265521"	"MIR5697"	78	0	0	2
"ENSG00000241326"	"AL603962.1"	436	0	0	0
"ENSG00000162444"	"RBP7"	861	15	61	137
"ENSG00000130939"	"UBE4B"	9128	1820	2326	2784
"ENSG00000224340"	"AL590639.1"	337	0	0	1
"ENSG00000233623"	"PGAM1P11"	680	0	0	1
"ENSG00000201746"	"RNU6-828P"	107	2	0	2
"ENSG00000054523"	"KIF1B"	17720	1901	5144	5666
"ENSG00000264881"	"MIR1273D"	86	0	1	0
"ENSG00000199562"	"RNU6-37P"	107	2	1	1
"ENSG00000264501"	"RN7SL731P"	293	0	0	0
"ENSG00000284735"	"AL139424.3"	2381	2	2	2
"ENSG00000284642"	"AL139424.2"	1477	17	47	37
"ENSG00000142657"	"PGD"	2966	7959	1952	2248
"ENSG00000271989"	"AL139424.1"	797	0	0	0
"ENSG00000251503"	"CENPS-CORT"	2244	0	0	0
"ENSG00000175279"	"CENPS"	1739	15	11	19
"ENSG00000241563"	"CORT"	1130	1	0	2
"ENSG00000160049"	"DFFA"	6622	1394	890	1523
"ENSG00000203469"	"AL354956.1"	467	0	2	2
"ENSG00000142655"	"PEX14"	2995	386	168	192
"ENSG00000243267"	"RN7SL614P"	280	1	0	0
"ENSG00000130940"	"CASZ1"	11336	12	5	4
"ENSG00000272078"	"AL139423.1"	7923	0	0	2
"ENSG00000225158"	"HSPE1P24"	238	0	1	0
"ENSG00000175262"	"C1orf127"	3573	146	0	14
"ENSG00000215785"	"CFL1P6"	494	0	0	1
"ENSG00000120948"	"TARDBP"	6071	1943	1676	1883
"ENSG00000277726"	"AL109811.4"	2205	0	0	0
"ENSG00000009724"	"MASP2"	4251	0	6	1
"ENSG00000271895"	"AL109811.3"	870	71	36	65
"ENSG00000116649"	"SRM"	1898	572	779	676
"ENSG00000171824"	"EXOSC10"	6003	1797	1058	1417
"ENSG00000226849"	"AL109811.1"	2682	9	5	19
"ENSG00000230337"	"AL109811.2"	536	13	0	4
"ENSG00000198793"	"MTOR"	12119	1784	1495	1767
"ENSG00000225602"	"MTOR-AS1"	763	0	0	0
"ENSG00000253086"	"RNU6-537P"	103	0	0	0
"ENSG00000171819"	"ANGPTL7"	2238	0	30	59
"ENSG00000207451"	"RNU6-291P"	107	0	0	0
"ENSG00000238173"	"RPL39P6"	150	1	0	0
"ENSG00000120942"	"UBIAD1"	5082	306	261	318
"ENSG00000238199"	"UBE2V2P3"	437	0	0	0
"ENSG00000284646"	"AL031291.1"	742	0	0	0
"ENSG00000224338"	"MTCYBP45"	565	0	0	0
"ENSG00000204624"	"DISP3"	6142	0	1	1
"ENSG00000285833"	"AL590989.1"	1051	0	0	0
"ENSG00000235643"	"LINC01647"	1285	0	0	0
"ENSG00000284708"	"AL031731.1"	2094	0	0	0
"ENSG00000116661"	"FBXO2"	3416	16	315	274
"ENSG00000132879"	"FBXO44"	3527	155	170	240
"ENSG00000116663"	"FBXO6"	1811	75	73	76
"ENSG00000116670"	"MAD2L2"	3324	203	274	312
"ENSG00000162490"	"DRAXIN"	7346	51	8	2
"ENSG00000177674"	"AGTRAP"	2435	154	116	166
"ENSG00000215910"	"C1orf167"	6499	5	1	2
"ENSG00000177553"	"AL953897.1"	1868	0	1	0
"ENSG00000177000"	"MTHFR"	11978	2111	604	1155
"ENSG00000011021"	"CLCN6"	8174	1149	871	807
"ENSG00000276470"	"RF02156"	173	0	0	0
"ENSG00000278852"	"RF02157"	149	0	0	0
"ENSG00000175206"	"NPPA"	1120	0	0	0
"ENSG00000275915"	"RF02158"	108	0	0	0
"ENSG00000120937"	"NPPB"	694	18	2	0
"ENSG00000224904"	"AL021155.1"	2637	0	0	0
"ENSG00000285646"	"AL021155.2"	737	1	1	0
"ENSG00000199347"	"RNU5E-1"	120	0	0	0
"ENSG00000201801"	"RNU5E-4P"	120	2	0	0
"ENSG00000116685"	"KIAA2013"	3281	757	403	428
"ENSG00000083444"	"PLOD1"	5320	1655	6809	8633
"ENSG00000116688"	"MFN2"	4973	1966	1517	1860
"ENSG00000270914"	"AL096840.1"	93	0	0	0
"ENSG00000116691"	"MIIP"	2821	293	125	181
"ENSG00000202461"	"RF00019"	113	0	0	0
"ENSG00000276869"	"MIR6729"	65	0	0	0
"ENSG00000243539"	"RN7SL649P"	275	0	0	0
"ENSG00000120949"	"TNFRSF8"	3738	37	7	13
"ENSG00000201135"	"RNU6-777P"	104	0	0	0
"ENSG00000227875"	"RPL23AP89"	255	0	0	0
"ENSG00000285604"	"AL357835.1"	1196	0	0	0
"ENSG00000283789"	"MIR7846"	96	0	0	0
"ENSG00000028137"	"TNFRSF1B"	3766	4626	6	913
"ENSG00000263676"	"MIR4632"	61	0	0	0
"ENSG00000225196"	"RPL10P17"	316	0	0	0
"ENSG00000252969"	"RF00156"	124	0	0	0
"ENSG00000048707"	"VPS13D"	20768	2110	1892	2551
"ENSG00000239149"	"SNORA59A"	152	0	0	0
"ENSG00000229484"	"AC243836.1"	438	9	0	0
"ENSG00000162496"	"DHRS3"	3036	2953	29	51
"ENSG00000221340"	"RNU6ATAC18P"	101	12	0	0
"ENSG00000276830"	"MIR6730"	67	0	0	0
"ENSG00000272482"	"AC254633.1"	345	11	4	0
"ENSG00000204518"	"AADACL4"	1575	0	0	0
"ENSG00000226166"	"AC244670.1"	112	0	0	0
"ENSG00000188984"	"AADACL3"	4049	0	0	0
"ENSG00000157330"	"C1orf158"	4118	0	1	0
"ENSG00000116726"	"PRAMEF12"	1786	0	0	0
"ENSG00000116721"	"PRAMEF1"	2439	0	0	0
"ENSG00000228338"	"LINC01784"	378	0	0	0
"ENSG00000239810"	"PRAMEF11"	1845	0	0	0
"ENSG00000231103"	"PRAMEF30P"	1417	0	0	0
"ENSG00000179172"	"HNRNPCL1"	1108	0	0	0
"ENSG00000120952"	"PRAMEF2"	1642	0	0	0
"ENSG00000243073"	"PRAMEF4"	1828	0	0	0
"ENSG00000187545"	"PRAMEF10"	1525	0	0	0
"ENSG00000204510"	"PRAMEF7"	1660	0	0	0
"ENSG00000207434"	"RNU6-1072P"	107	0	0	0
"ENSG00000234064"	"PRAMEF29P"	1139	0	0	0
"ENSG00000232423"	"PRAMEF6"	1784	0	0	0
"ENSG00000274178"	"PRAMEF28P"	1450	0	0	0
"ENSG00000274764"	"PRAMEF27"	1863	0	0	0
"ENSG00000277058"	"HNRNPCL3"	1148	0	0	0
"ENSG00000229571"	"PRAMEF25"	1918	0	0	0
"ENSG00000277862"	"PRAMEF34P"	1447	0	0	0
"ENSG00000236179"	"PRAMEF35P"	891	0	0	0
"ENSG00000275774"	"HNRNPCL2"	1148	1	0	0
"ENSG00000229978"	"PRAMEF36P"	1452	0	0	0
"ENSG00000233336"	"AC245056.1"	384	0	0	0
"ENSG00000280267"	"PRAMEF26"	1863	0	0	0
"ENSG00000179412"	"HNRNPCL4"	882	0	0	0
"ENSG00000204505"	"PRAMEF9"	1863	0	0	0
"ENSG00000279169"	"PRAMEF13"	2300	0	0	0
"ENSG00000279804"	"PRAMEF18"	2067	0	0	0
"ENSG00000250894"	"PRAMEF31P"	1371	0	0	0
"ENSG00000270601"	"PRAMEF5"	1720	0	0	0
"ENSG00000231219"	"PRAMEF32P"	1068	0	0	0
"ENSG00000207511"	"RNU6-771P"	107	0	0	0
"ENSG00000182330"	"PRAMEF8"	1937	0	0	0
"ENSG00000237700"	"PRAMEF33"	1518	0	0	0
"ENSG00000204501"	"PRAMEF15"	1865	0	0	0
"ENSG00000228229"	"AC243961.1"	384	0	0	0
"ENSG00000204481"	"PRAMEF14"	2301	0	0	0
"ENSG00000204480"	"PRAMEF19"	1440	0	0	0
"ENSG00000204479"	"PRAMEF17"	1578	0	0	0
"ENSG00000204478"	"PRAMEF20"	1597	0	0	0
"ENSG00000162494"	"LRRC38"	2209	1	8	17
"ENSG00000259961"	"AL354712.1"	477	0	0	0
"ENSG00000215909"	"BRWD1P1"	371	0	0	0
"ENSG00000162493"	"PDPN"	3707	1296	4005	3748
"ENSG00000222952"	"RNA5SP41"	101	0	0	0
"ENSG00000237445"	"AL359771.1"	379	0	0	0
"ENSG00000253085"	"RF00564"	130	0	0	0
"ENSG00000116731"	"PRDM2"	10923	1057	849	1350
"ENSG00000189337"	"KAZN"	13841	14	384	244
"ENSG00000252151"	"RNU6-1265P"	103	0	0	0
"ENSG00000231606"	"AL357873.1"	282	0	0	0
"ENSG00000234593"	"KAZN-AS1"	764	0	0	0
