"ENSEMBL_ID"	"Gene_Symbol"	"Gene_Length"	"CS52old.ISO_3"
"ENSG00000078808"	"SDF4"	4709	3498
"ENSG00000176022"	"B3GALT6"	2816	676
"ENSG00000184163"	"C1QTNF12"	1794	8
"ENSG00000260179"	"AL162741.1"	1558	3
"ENSG00000160087"	"UBE2J2"	4712	878
"ENSG00000230415"	"LINC01786"	513	9
"ENSG00000162572"	"SCNN1D"	4025	60
"ENSG00000131584"	"ACAP3"	8809	1141
"ENSG00000278073"	"MIR6726"	61	0
"ENSG00000169972"	"PUSL1"	2489	223
"ENSG00000127054"	"INTS11"	8220	1069
"ENSG00000283712"	"MIR6727"	65	0
"ENSG00000240731"	"AL139287.1"	386	57
"ENSG00000224051"	"CPTP"	2556	213
"ENSG00000169962"	"TAS1R3"	3433	1
"ENSG00000107404"	"DVL1"	3814	765
"ENSG00000284372"	"MIR6808"	59	0
"ENSG00000162576"	"MXRA8"	3622	207
"ENSG00000175756"	"AURKAIP1"	1669	660
"ENSG00000223663"	"NDUFB4P8"	367	1
"ENSG00000221978"	"CCNL2"	6850	7634
"ENSG00000224870"	"AL391244.1"	2525	270
"ENSG00000242485"	"MRPL20"	2788	998
"ENSG00000264293"	"RN7SL657P"	293	0
"ENSG00000272455"	"AL391244.3"	1523	61
"ENSG00000235098"	"ANKRD65"	2644	3
"ENSG00000225905"	"AL391244.2"	543	1
"ENSG00000205116"	"TMEM88B"	492	0
"ENSG00000225285"	"LINC01770"	851	1
"ENSG00000179403"	"VWA1"	5065	113
"ENSG00000215915"	"ATAD3C"	3976	3
"ENSG00000160072"	"ATAD3B"	7682	322
"ENSG00000284740"	"AL645728.2"	660	1
"ENSG00000197785"	"ATAD3A"	3069	349
"ENSG00000205090"	"TMEM240"	1380	40
"ENSG00000160075"	"SSU72"	6925	2382
"ENSG00000215014"	"AL645728.1"	2349	14
"ENSG00000274481"	"AL691432.3"	400	0
"ENSG00000228594"	"FNDC10"	2085	280
"ENSG00000272106"	"AL691432.2"	2038	234
"ENSG00000197530"	"MIB2"	8767	587
"ENSG00000189409"	"MMP23B"	2273	40
"ENSG00000248333"	"CDK11B"	3488	318
"ENSG00000272004"	"FO704657.1"	400	2
"ENSG00000189339"	"SLC35E2B"	8395	1073
"ENSG00000269737"	"AL691432.1"	1819	0
"ENSG00000215914"	"MMP23A"	1017	4
"ENSG00000008128"	"CDK11A"	4701	45
"ENSG00000268575"	"AL031282.2"	5079	137
"ENSG00000227775"	"AL031282.1"	2759	2
"ENSG00000215790"	"SLC35E2A"	7713	553
"ENSG00000008130"	"NADK"	5570	1015
"ENSG00000078369"	"GNB1"	6417	11980
"ENSG00000231050"	"AL109917.1"	906	2
"ENSG00000169885"	"CALML6"	2321	6
"ENSG00000178821"	"TMEM52"	1594	31
"ENSG00000142609"	"CFAP74"	10422	2
"ENSG00000233542"	"AL391845.2"	1954	0
"ENSG00000187730"	"GABRD"	5556	0
"ENSG00000226969"	"AL391845.1"	538	1
"ENSG00000067606"	"PRKCZ"	7636	973
"ENSG00000271806"	"AL590822.2"	4196	0
"ENSG00000182873"	"PRKCZ-AS1"	1734	22
"ENSG00000162585"	"FAAP20"	10916	484
"ENSG00000234396"	"AL590822.1"	326	0
"ENSG00000157933"	"SKI"	6080	5742
"ENSG00000116151"	"MORN1"	11337	200
"ENSG00000272161"	"AL589739.1"	493	0
"ENSG00000269896"	"AL513477.1"	2407	46
"ENSG00000272420"	"AL513477.2"	568	16
"ENSG00000157916"	"RER1"	5691	4291
"ENSG00000157911"	"PEX10"	3789	603
"ENSG00000149527"	"PLCH2"	10781	489
"ENSG00000224387"	"AL139246.1"	455	0
"ENSG00000229393"	"AL139246.4"	514	5
"ENSG00000157881"	"PANK4"	5107	474
"ENSG00000197921"	"HES5"	1306	1
"ENSG00000272449"	"AL139246.5"	1531	6
"ENSG00000238164"	"TNFRSF14-AS1"	6137	1
"ENSG00000157873"	"TNFRSF14"	6219	1
"ENSG00000225931"	"AL139246.2"	1297	0
"ENSG00000228037"	"AL139246.3"	626	0
"ENSG00000157870"	"PRXL2B"	3371	257
"ENSG00000142606"	"MMEL1"	3844	9
"ENSG00000237058"	"AL831784.1"	373	0
"ENSG00000215912"	"TTC34"	8814	30
"ENSG00000285945"	"AC242022.2"	593	0
"ENSG00000283259"	"AC242022.1"	1565	0
"ENSG00000233234"	"AL592464.2"	607	0
"ENSG00000231630"	"AL592464.1"	429	0
"ENSG00000284745"	"AL589702.1"	1654	0
"ENSG00000169717"	"ACTRT2"	1421	0
"ENSG00000177133"	"LINC00982"	5600	0
"ENSG00000142611"	"PRDM16"	9767	3
"ENSG00000283572"	"MIR4251"	61	0
"ENSG00000226286"	"AL008733.1"	469	0
"ENSG00000279839"	"AL512383.1"	2677	0
"ENSG00000272235"	"AL590438.1"	3461	1
"ENSG00000130762"	"ARHGEF16"	5563	157
"ENSG00000272088"	"AL512413.1"	382	1
"ENSG00000162591"	"MEGF6"	7039	111
"ENSG00000207776"	"MIR551A"	96	0
"ENSG00000238260"	"AL513320.1"	622	2
"ENSG00000158109"	"TPRG1L"	2414	1240
"ENSG00000116213"	"WRAP73"	7604	301
"ENSG00000078900"	"TP73"	6763	3
"ENSG00000227589"	"AL136528.1"	754	0
"ENSG00000235131"	"AL136528.2"	351	0
"ENSG00000227372"	"TP73-AS1"	9701	855
"ENSG00000276189"	"RF02197"	161	0
"ENSG00000162592"	"CCDC27"	4285	0
"ENSG00000235169"	"SMIM1"	981	32
"ENSG00000130764"	"LRRC47"	4516	1377
"ENSG00000266075"	"RN7SL574P"	297	7
"ENSG00000272153"	"AL365330.1"	531	8
"ENSG00000116198"	"CEP104"	7876	1308
"ENSG00000169598"	"DFFB"	3870	155
"ENSG00000198912"	"C1orf174"	4388	583
"ENSG00000236423"	"LINC01134"	4064	4
"ENSG00000233304"	"LINC01346"	3894	0
"ENSG00000226374"	"LINC01345"	1852	0
"ENSG00000284668"	"AL805961.1"	1830	0
"ENSG00000284703"	"AL805961.2"	4817	0
"ENSG00000229280"	"EEF1DP6"	372	0
"ENSG00000235054"	"LINC01777"	2104	0
"ENSG00000284694"	"AL355602.1"	3402	0
"ENSG00000227169"	"Z98747.1"	356	0
"ENSG00000232596"	"LINC01646"	1994	0
"ENSG00000196581"	"AJAP1"	12405	46
"ENSG00000284739"	"BX005132.2"	464	0
"ENSG00000284674"	"BX005132.1"	1580	0
"ENSG00000231510"	"AL691497.1"	449	0
"ENSG00000284616"	"AL139823.1"	1225	0
"ENSG00000284692"	"Z98259.3"	2316	0
"ENSG00000284666"	"Z98259.2"	609	0
"ENSG00000260972"	"Z98259.1"	1697	0
"ENSG00000283356"	"Z97988.1"	135	0
"ENSG00000236948"	"AL365255.1"	1095	0
"ENSG00000264341"	"MIR4417"	73	0
"ENSG00000264101"	"MIR4689"	70	0
"ENSG00000131697"	"NPHP4"	13167	249
"ENSG00000069424"	"KCNAB2"	9534	251
"ENSG00000116254"	"CHD5"	9890	107
"ENSG00000285629"	"AL031847.2"	663	0
"ENSG00000116251"	"RPL22"	4682	7359
"ENSG00000226944"	"AL031847.1"	378	0
"ENSG00000158286"	"RNF207"	6585	55
"ENSG00000116237"	"ICMT"	4910	2296
"ENSG00000225077"	"LINC00337"	2358	2
"ENSG00000173673"	"HES3"	697	0
"ENSG00000158292"	"GPR153"	4082	357
"ENSG00000097021"	"ACOT7"	4124	760
"ENSG00000271746"	"AL031848.2"	837	4
"ENSG00000069812"	"HES2"	5407	26
"ENSG00000187017"	"ESPN"	6952	0
"ENSG00000265392"	"MIR4252"	63	0
"ENSG00000231868"	"AL031848.1"	351	0
"ENSG00000215788"	"TNFRSF25"	4283	156
"ENSG00000171680"	"PLEKHG5"	7053	515
"ENSG00000162408"	"NOL9"	7293	805
"ENSG00000253022"	"RNU6-731P"	111	0
"ENSG00000229519"	"AL591866.1"	401	0
"ENSG00000173662"	"TAS1R1"	2892	0
"ENSG00000204859"	"ZBTB48"	4503	238
"ENSG00000162413"	"KLHL21"	6901	504
"ENSG00000116273"	"PHF13"	3681	948
"ENSG00000041988"	"THAP3"	4072	164
"ENSG00000007923"	"DNAJC11"	5083	1746
"ENSG00000228750"	"LINC01672"	2188	0
"ENSG00000284744"	"AL591163.1"	987	0
"ENSG00000237436"	"CAMTA1-DT"	415	3
"ENSG00000171735"	"CAMTA1"	10033	607
"ENSG00000227950"	"AL590128.1"	286	0
"ENSG00000237365"	"AL512330.1"	349	0
"ENSG00000207056"	"RNU1-8P"	165	0
"ENSG00000237402"	"CAMTA1-IT1"	365	0
"ENSG00000237728"	"Z97987.1"	744	0
"ENSG00000225126"	"AL365194.1"	361	0
"ENSG00000270171"	"AL359881.3"	1721	7
"ENSG00000270035"	"AL359881.2"	570	1
"ENSG00000269978"	"AL359881.1"	267	9
"ENSG00000049245"	"VAMP3"	2760	4364
"ENSG00000269925"	"Z98884.2"	393	15
"ENSG00000049246"	"PER3"	8099	796
"ENSG00000236266"	"Z98884.1"	830	0
"ENSG00000049247"	"UTS2"	1791	0
"ENSG00000049249"	"TNFRSF9"	6331	3
"ENSG00000270330"	"AL009183.1"	355	0
"ENSG00000116288"	"PARK7"	2397	4222
"ENSG00000200344"	"RF00019"	103	0
"ENSG00000284747"	"AL034417.4"	4116	11
"ENSG00000284716"	"AL034417.3"	1043	0
"ENSG00000116285"	"ERRFI1"	4186	1089
"ENSG00000238290"	"AL034417.2"	2044	2
"ENSG00000232848"	"AL034417.1"	800	1
"ENSG00000229305"	"AL358876.1"	1075	0
"ENSG00000227634"	"LINC01714"	950	1
"ENSG00000200975"	"RNU1-7P"	164	0
"ENSG00000233645"	"AL358876.2"	477	0
"ENSG00000251977"	"RNU6-991P"	107	0
"ENSG00000162426"	"SLC45A1"	2888	7
"ENSG00000252254"	"RF00019"	113	0
"ENSG00000142599"	"RERE"	11503	7743
"ENSG00000232912"	"AL096855.1"	702	1
"ENSG00000221083"	"RF00599"	125	0
"ENSG00000270282"	"AL096855.2"	369	0
"ENSG00000234619"	"RPL7P11"	658	0
"ENSG00000224315"	"RPL7P7"	703	1
"ENSG00000222511"	"RF00019"	103	0
"ENSG00000226545"	"AL357552.1"	415	0
"ENSG00000228423"	"AL357552.2"	353	0
"ENSG00000229716"	"RPL23AP19"	369	0
"ENSG00000074800"	"ENO1"	5276	24404
"ENSG00000274258"	"MIR6728"	89	0
"ENSG00000230679"	"ENO1-AS1"	456	2
"ENSG00000201725"	"RNU6-304P"	107	0
"ENSG00000238249"	"HMGN2P17"	743	1
"ENSG00000232208"	"AL139415.1"	352	0
"ENSG00000232663"	"AL139415.2"	163	0
"ENSG00000131686"	"CA6"	2662	0
"ENSG00000265141"	"RN7SL451P"	299	0
"ENSG00000197241"	"SLC2A7"	1539	0
"ENSG00000142583"	"SLC2A5"	6693	4
"ENSG00000252404"	"RF00424"	184	0
"ENSG00000180758"	"GPR157"	5372	156
"ENSG00000228526"	"MIR34AHG"	8702	832
"ENSG00000284357"	"MIR34A"	110	0
"ENSG00000234546"	"LNCTAM34A"	1662	102
"ENSG00000049239"	"H6PD"	9321	3479
"ENSG00000171621"	"SPSB1"	3403	986
"ENSG00000284652"	"BX323043.1"	1765	2
"ENSG00000284693"	"AL928921.2"	2623	16
"ENSG00000252956"	"RNA5SP40"	110	0
"ENSG00000235263"	"AL928921.1"	708	0
"ENSG00000171612"	"SLC25A33"	3854	259
"ENSG00000231181"	"AL954705.1"	559	7
"ENSG00000188807"	"TMEM201"	6966	225
"ENSG00000171608"	"PIK3CD"	6332	264
"ENSG00000179840"	"PIK3CD-AS1"	1823	0
"ENSG00000233268"	"AL691449.1"	421	0
"ENSG00000231789"	"PIK3CD-AS2"	939	69
"ENSG00000171603"	"CLSTN1"	5683	2924
"ENSG00000271264"	"MZT1P1"	246	0
"ENSG00000280113"	"AL357140.3"	1983	0
"ENSG00000178585"	"CTNNBIP1"	3339	980
"ENSG00000223989"	"AL357140.1"	424	0
"ENSG00000285701"	"AL357140.5"	762	0
"ENSG00000162441"	"LZIC"	2794	1150
"ENSG00000228150"	"AL357140.2"	440	2
"ENSG00000173614"	"NMNAT1"	4610	405
"ENSG00000202415"	"RN7SKP269"	319	0
"ENSG00000283611"	"AL357140.4"	444	0
"ENSG00000265521"	"MIR5697"	78	0
"ENSG00000241326"	"AL603962.1"	436	0
"ENSG00000162444"	"RBP7"	861	161
"ENSG00000130939"	"UBE4B"	9128	3256
"ENSG00000224340"	"AL590639.1"	337	0
"ENSG00000233623"	"PGAM1P11"	680	0
"ENSG00000201746"	"RNU6-828P"	107	0
"ENSG00000054523"	"KIF1B"	17720	4607
"ENSG00000264881"	"MIR1273D"	86	0
"ENSG00000199562"	"RNU6-37P"	107	1
"ENSG00000264501"	"RN7SL731P"	293	0
"ENSG00000284735"	"AL139424.3"	2381	0
"ENSG00000284642"	"AL139424.2"	1477	33
"ENSG00000142657"	"PGD"	2966	2470
"ENSG00000271989"	"AL139424.1"	797	0
"ENSG00000251503"	"CENPS-CORT"	2244	0
"ENSG00000175279"	"CENPS"	1739	13
"ENSG00000241563"	"CORT"	1130	2
"ENSG00000160049"	"DFFA"	6622	2908
"ENSG00000203469"	"AL354956.1"	467	1
"ENSG00000142655"	"PEX14"	2995	340
"ENSG00000243267"	"RN7SL614P"	280	0
"ENSG00000130940"	"CASZ1"	11336	9
"ENSG00000272078"	"AL139423.1"	7923	0
"ENSG00000225158"	"HSPE1P24"	238	0
"ENSG00000175262"	"C1orf127"	3573	0
"ENSG00000215785"	"CFL1P6"	494	0
"ENSG00000120948"	"TARDBP"	6071	3386
"ENSG00000277726"	"AL109811.4"	2205	0
"ENSG00000009724"	"MASP2"	4251	5
"ENSG00000271895"	"AL109811.3"	870	145
"ENSG00000116649"	"SRM"	1898	870
"ENSG00000171824"	"EXOSC10"	6003	2174
"ENSG00000226849"	"AL109811.1"	2682	9
"ENSG00000230337"	"AL109811.2"	536	2
"ENSG00000198793"	"MTOR"	12119	2559
"ENSG00000225602"	"MTOR-AS1"	763	1
"ENSG00000253086"	"RNU6-537P"	103	0
"ENSG00000171819"	"ANGPTL7"	2238	128
"ENSG00000207451"	"RNU6-291P"	107	0
"ENSG00000238173"	"RPL39P6"	150	1
"ENSG00000120942"	"UBIAD1"	5082	591
"ENSG00000238199"	"UBE2V2P3"	437	0
"ENSG00000284646"	"AL031291.1"	742	0
"ENSG00000224338"	"MTCYBP45"	565	0
"ENSG00000204624"	"DISP3"	6142	1
"ENSG00000285833"	"AL590989.1"	1051	0
"ENSG00000235643"	"LINC01647"	1285	0
"ENSG00000284708"	"AL031731.1"	2094	0
"ENSG00000116661"	"FBXO2"	3416	1610
"ENSG00000132879"	"FBXO44"	3527	561
"ENSG00000116663"	"FBXO6"	1811	88
"ENSG00000116670"	"MAD2L2"	3324	401
"ENSG00000162490"	"DRAXIN"	7346	13
"ENSG00000177674"	"AGTRAP"	2435	185
"ENSG00000215910"	"C1orf167"	6499	3
"ENSG00000177553"	"AL953897.1"	1868	0
"ENSG00000177000"	"MTHFR"	11978	1335
"ENSG00000011021"	"CLCN6"	8174	1423
"ENSG00000276470"	"RF02156"	173	0
"ENSG00000278852"	"RF02157"	149	0
"ENSG00000175206"	"NPPA"	1120	0
"ENSG00000275915"	"RF02158"	108	0
"ENSG00000120937"	"NPPB"	694	0
"ENSG00000224904"	"AL021155.1"	2637	0
"ENSG00000285646"	"AL021155.2"	737	2
"ENSG00000199347"	"RNU5E-1"	120	0
"ENSG00000201801"	"RNU5E-4P"	120	1
"ENSG00000116685"	"KIAA2013"	3281	603
"ENSG00000083444"	"PLOD1"	5320	4055
"ENSG00000116688"	"MFN2"	4973	2452
"ENSG00000270914"	"AL096840.1"	93	0
"ENSG00000116691"	"MIIP"	2821	103
"ENSG00000202461"	"RF00019"	113	0
"ENSG00000276869"	"MIR6729"	65	0
"ENSG00000243539"	"RN7SL649P"	275	0
"ENSG00000120949"	"TNFRSF8"	3738	2
"ENSG00000201135"	"RNU6-777P"	104	0
"ENSG00000227875"	"RPL23AP89"	255	1
"ENSG00000285604"	"AL357835.1"	1196	0
"ENSG00000283789"	"MIR7846"	96	0
"ENSG00000028137"	"TNFRSF1B"	3766	3
"ENSG00000263676"	"MIR4632"	61	0
"ENSG00000225196"	"RPL10P17"	316	0
"ENSG00000252969"	"RF00156"	124	0
"ENSG00000048707"	"VPS13D"	20768	2771
"ENSG00000239149"	"SNORA59A"	152	0
"ENSG00000229484"	"AC243836.1"	438	0
"ENSG00000162496"	"DHRS3"	3036	128
"ENSG00000221340"	"RNU6ATAC18P"	101	0
"ENSG00000276830"	"MIR6730"	67	0
"ENSG00000272482"	"AC254633.1"	345	4
"ENSG00000204518"	"AADACL4"	1575	0
"ENSG00000226166"	"AC244670.1"	112	0
"ENSG00000188984"	"AADACL3"	4049	0
"ENSG00000157330"	"C1orf158"	4118	0
"ENSG00000116726"	"PRAMEF12"	1786	0
"ENSG00000116721"	"PRAMEF1"	2439	0
"ENSG00000228338"	"LINC01784"	378	0
"ENSG00000239810"	"PRAMEF11"	1845	0
"ENSG00000231103"	"PRAMEF30P"	1417	0
"ENSG00000179172"	"HNRNPCL1"	1108	0
"ENSG00000120952"	"PRAMEF2"	1642	0
"ENSG00000243073"	"PRAMEF4"	1828	0
"ENSG00000187545"	"PRAMEF10"	1525	0
"ENSG00000204510"	"PRAMEF7"	1660	0
"ENSG00000207434"	"RNU6-1072P"	107	0
"ENSG00000234064"	"PRAMEF29P"	1139	0
"ENSG00000232423"	"PRAMEF6"	1784	0
"ENSG00000274178"	"PRAMEF28P"	1450	0
"ENSG00000274764"	"PRAMEF27"	1863	0
"ENSG00000277058"	"HNRNPCL3"	1148	0
"ENSG00000229571"	"PRAMEF25"	1918	0
"ENSG00000277862"	"PRAMEF34P"	1447	0
"ENSG00000236179"	"PRAMEF35P"	891	0
"ENSG00000275774"	"HNRNPCL2"	1148	0
"ENSG00000229978"	"PRAMEF36P"	1452	0
"ENSG00000233336"	"AC245056.1"	384	0
"ENSG00000280267"	"PRAMEF26"	1863	0
"ENSG00000179412"	"HNRNPCL4"	882	0
"ENSG00000204505"	"PRAMEF9"	1863	0
"ENSG00000279169"	"PRAMEF13"	2300	0
"ENSG00000279804"	"PRAMEF18"	2067	0
"ENSG00000250894"	"PRAMEF31P"	1371	0
"ENSG00000270601"	"PRAMEF5"	1720	0
"ENSG00000231219"	"PRAMEF32P"	1068	0
"ENSG00000207511"	"RNU6-771P"	107	0
"ENSG00000182330"	"PRAMEF8"	1937	0
"ENSG00000237700"	"PRAMEF33"	1518	0
"ENSG00000204501"	"PRAMEF15"	1865	0
"ENSG00000228229"	"AC243961.1"	384	0
"ENSG00000204481"	"PRAMEF14"	2301	0
"ENSG00000204480"	"PRAMEF19"	1440	0
"ENSG00000204479"	"PRAMEF17"	1578	0
"ENSG00000204478"	"PRAMEF20"	1597	0
"ENSG00000162494"	"LRRC38"	2209	28
"ENSG00000259961"	"AL354712.1"	477	0
"ENSG00000215909"	"BRWD1P1"	371	0
"ENSG00000162493"	"PDPN"	3707	15065
"ENSG00000222952"	"RNA5SP41"	101	0
"ENSG00000237445"	"AL359771.1"	379	0
"ENSG00000253085"	"RF00564"	130	0
"ENSG00000116731"	"PRDM2"	10923	2107
"ENSG00000189337"	"KAZN"	13841	910
"ENSG00000252151"	"RNU6-1265P"	103	0
"ENSG00000231606"	"AL357873.1"	282	0
"ENSG00000234593"	"KAZN-AS1"	764	0
"ENSG00000235829"	"TBCAP2"	326	0
"ENSG00000175147"	"TMEM51-AS1"	7873	16
"ENSG00000171729"	"TMEM51"	2240	263
"ENSG00000204464"	"C1orf195"	559	0
"ENSG00000215720"	"AL035405.1"	710	0
"ENSG00000278480"	"AL391094.1"	966	0
"ENSG00000142621"	"FHAD1"	12805	46
"ENSG00000233485"	"AL031283.2"	3105	2
"ENSG00000236045"	"AL031283.3"	727	0
"ENSG00000228140"	"AL031283.1"	5178	2
"ENSG00000142634"	"EFHD2"	2531	620
"ENSG00000162438"	"CTRC"	3486	2
"ENSG00000142615"	"CELA2A"	1519	0
"ENSG00000215704"	"CELA2B"	1457	0
"ENSG00000132906"	"CASP9"	5269	282
"ENSG00000116138"	"DNAJC16"	8563	1449
"ENSG00000251866"	"SCARNA21B"	140	0
"ENSG00000272510"	"AL121992.3"	346	0
"ENSG00000116771"	"AGMAT"	2500	6
"ENSG00000237301"	"AL121992.1"	2845	2
"ENSG00000235084"	"CHCHD2P6"	447	1
"ENSG00000252417"	"RNU7-179P"	68	0
"ENSG00000236500"	"CD24P1"	225	0
"ENSG00000197312"	"DDI2"	12136	2164
"ENSG00000215695"	"RSC1A1"	1854	0
"ENSG00000271742"	"AL121992.2"	256	0
"ENSG00000116786"	"PLEKHM2"	4122	1706
"ENSG00000237938"	"AL450998.2"	1533	1
"ENSG00000162461"	"SLC25A34"	3195	16
"ENSG00000224459"	"SLC25A34-AS1"	639	0
"ENSG00000162460"	"TMEM82"	1520	0
"ENSG00000162458"	"FBLIM1"	4716	814
"ENSG00000224321"	"RPL12P14"	490	0
"ENSG00000233954"	"UQCRHL"	2180	160
"ENSG00000178715"	"AL450998.1"	438	9
"ENSG00000179743"	"FLJ37453"	2473	91
"ENSG00000065526"	"SPEN"	13294	2720
"ENSG00000270620"	"AL034555.1"	211	0
"ENSG00000116809"	"ZBTB17"	4240	338
"ENSG00000234607"	"AL355994.4"	563	0
"ENSG00000231353"	"AL355994.1"	260	0
"ENSG00000275503"	"AL355994.5"	236	0
"ENSG00000224966"	"TBC1D3P6"	962	0
"ENSG00000183888"	"SRARP"	3039	0
"ENSG00000233078"	"AL355994.3"	466	0
"ENSG00000173641"	"HSPB7"	3910	163
"ENSG00000186510"	"CLCNKA"	3476	7
"ENSG00000232456"	"AL355994.2"	704	3
"ENSG00000184908"	"CLCNKB"	2939	41
"ENSG00000185519"	"FAM131C"	1701	2
"ENSG00000142627"	"EPHA2"	4159	1341
"ENSG00000227959"	"AL451042.2"	904	3
"ENSG00000224621"	"AL451042.1"	544	4
"ENSG00000234166"	"ARHGEF19-AS1"	439	0
"ENSG00000142632"	"ARHGEF19"	3745	123
"ENSG00000237276"	"ANO7L1"	1990	16
"ENSG00000132881"	"CPLANE2"	1545	63
"ENSG00000233929"	"MT1XP1"	186	0
"ENSG00000037637"	"FBXO42"	8984	917
"ENSG00000055070"	"SZRD1"	4747	2814
"ENSG00000226457"	"RPL22P3"	381	9
"ENSG00000187144"	"SPATA21"	4506	3
"ENSG00000157191"	"NECAP2"	5559	868
"ENSG00000226029"	"LINC01772"	3245	27
"ENSG00000080947"	"CROCCP3"	6813	206
"ENSG00000206652"	"RNU1-1"	164	0
"ENSG00000261135"	"AL137802.2"	1110	2
"ENSG00000285853"	"AL137802.3"	1558	0
"ENSG00000224174"	"AL137802.1"	327	0
"ENSG00000233421"	"LINC01783"	2068	0
"ENSG00000277344"	"RNU1-6P"	144	0
"ENSG00000225710"	"AL355149.1"	882	0
"ENSG00000219481"	"NBPF1"	12212	228
"ENSG00000271732"	"AL137798.1"	339	0
"ENSG00000215908"	"CROCCP2"	5606	296
"ENSG00000283773"	"AL137798.3"	166	0
"ENSG00000186301"	"MST1P2"	2291	33
"ENSG00000282143"	"AL137798.2"	817	0
"ENSG00000207513"	"RNU1-3"	164	0
"ENSG00000280114"	"AL021920.2"	1351	0
"ENSG00000236698"	"EIF1AXP1"	435	8
"ENSG00000268869"	"ESPNP"	3178	0
"ENSG00000279151"	"AL021920.1"	406	0
"ENSG00000282740"	"AL021920.3"	819	0
